,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
124,288,5,160,105,345,1470,0,pink
125,153,5,97,49,202,1243,0,pink
126,393,5,364,143,615,5076,1,purple
127,0,0,0,0,0,75,0,pink
128,5,0,5,0,5,99,0,pink
129,5,0,5,5,5,148,0,pink
130,15,0,12,5,23,241,0,pink
131,78,5,67,37,108,982,0,pink
132,117,5,108,43,183,1132,0,pink
133,113,0,107,39,181,1314,0,pink
134,60,0,64,18,106,1085,0,pink
135,216,5,287,72,432,4972,1,purple
136,0,0,5,0,5,64,0,pink
137,5,0,5,5,5,121,0,pink
138,5,5,5,5,5,161,0,pink
139,17,0,18,5,27,283,0,pink
140,48,5,57,20,86,940,0,pink
141,52,0,83,18,117,1162,0,pink
142,48,0,68,11,105,1184,0,pink
143,43,0,49,10,82,1057,0,pink
144,212,5,277,79,411,4910,1,purple
145,0,0,0,0,0,64,0,pink
146,5,0,5,5,5,114,0,pink
147,5,0,5,5,5,168,0,pink
148,18,0,12,5,25,243,0,pink
149,55,5,52,21,87,941,0,pink
