deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
16,5,5,,20,393
5,0,10,,14,242
5,0,5,,5,155
5,0,5,,5,66
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
29906,351,28992,17260,41966,257385
48,13,84,17,128,2820
278,5,235,143,374,6150
737,14,654,405,1000,8707
1477,29,1281,876,1907,11401
5846,81,5535,3552,7904,41227
7244,78,7157,4460,10015,53233
8087,70,8041,4668,11525,66909
6189,62,6005,3139,9113,66938
20226,231,21425,13985,27885,70325
23,5,52,13,69,1430
201,5,191,130,266,1201
551,10,535,360,736,2431
1161,24,1088,793,1478,3972
4677,58,4659,3206,6185,14989
5640,54,5838,3926,7603,17977
5352,48,5868,3723,7542,18184
2621,26,3194,1834,4006,10141
939,18,782,339,1398,13939
18,5,22,,39,604
25,0,10,,32,998
56,5,35,14,79,1199
80,5,44,21,103,1200
265,5,169,75,362,3179
221,5,181,82,325,2836
188,5,202,91,301,2530
86,5,119,49,157,1393
5,0,5,,5,80
0,0,0,0,0,5
5,0,0,0,5,5
5,0,5,,5,5
0,0,0,0,0,5
5,0,5,,5,16
0,0,0,0,0,15
5,0,5,0,5,17
0,0,0,0,0,17
3291,42,2625,1100,4856,88329
5,5,5,0,12,364
28,0,17,,38,1435
70,5,43,18,96,2102
151,5,74,34,192,3182
509,5,351,142,727,13583
622,12,491,194,931,19260
897,5,758,322,1339,24363
1011,11,883,383,1521,24040
1632,31,1549,616,2592,19856
5,5,0,0,5,95
5,0,5,,5,85
15,0,5,,21,260
20,0,18,,31,531
131,5,139,45,227,2920
266,5,293,98,465,4321
553,5,490,200,849,5841
643,16,599,264,992,5803
2043,12,1377,680,2752,28051
0,0,0,0,0,0
0,0,5,0,5,17
5,0,5,,5,68
11,0,12,,19,183
108,5,96,40,166,1612
280,5,194,88,387,4052
634,5,412,206,843,8430
1004,5,656,340,1326,13689
1769,17,1231,538,2476,36805
5,5,5,0,5,325
21,0,11,,30,2409
37,5,29,,58,2644
54,5,45,17,84,2328
154,5,120,43,235,4928
215,5,160,72,304,4772
462,5,310,126,649,7544
824,5,554,269,1111,11855
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12469,281,12632,5985,19377,126614
20,5,40,,57,1530
88,5,84,43,133,2257
237,5,195,102,336,3372
551,17,509,272,804,5754
2288,75,2309,1217,3451,22983
2946,67,3104,1551,4559,28152
3420,56,3552,1616,5408,32473
2919,53,2839,1178,4629,30093
8077,189,9376,4792,12838,38613
5,0,19,,25,761
58,5,56,33,82,419
159,5,142,83,221,835
403,5,399,233,577,1907
1784,50,1931,1081,2682,8234
2292,53,2547,1370,3516,10330
2146,41,2608,1269,3523,9939
1226,33,1674,720,2212,6188
540,27,469,162,874,9346
5,5,11,,17,269
11,5,5,,19,342
26,0,14,,34,502
48,5,33,12,74,779
118,5,92,34,182,2306
110,5,92,31,176,2107
128,5,101,35,199,1887
93,5,117,39,173,1154
17,0,5,,23,240
0,0,0,0,0,18
0,0,5,0,5,23
5,0,5,0,5,20
5,0,5,,5,31
5,0,5,,5,56
5,0,5,0,5,30
5,0,5,0,5,42
5,0,0,0,5,20
1082,38,874,258,1731,42096
5,5,5,,12,302
13,0,14,,21,574
37,5,23,10,52,1091
71,5,46,15,105,1921
228,15,146,50,337,8305
197,5,164,40,327,9804
289,5,252,71,476,10954
243,5,222,65,401,9145
592,14,824,274,1155,11321
0,0,0,0,0,5
5,0,5,0,5,15
5,0,5,,5,94
10,0,16,,22,251
47,5,73,23,100,1602
95,5,153,45,205,2452
207,5,273,101,380,3430
231,5,301,100,439,3473
2011,11,976,465,2531,17808
0,0,0,0,0,0
5,0,5,0,5,13
5,0,5,0,5,25
5,0,5,,5,90
84,0,50,25,109,999
228,0,127,57,298,2514
611,5,292,135,770,5226
1077,5,500,245,1339,8941
150,5,104,31,225,7190
5,0,5,,5,176
5,0,5,0,5,871
5,5,5,,14,805
5,0,5,,14,775
22,5,15,,35,1481
22,0,20,,34,915
35,0,25,,55,995
48,0,25,,64,1172
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
107271,1704,117742,61360,165274,1063109
149,36,237,39,382,10160
811,34,793,382,1254,21987
2338,72,2110,1189,3326,31896
5373,92,4796,3034,7223,45637
