group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2020,8,4,Alabama,Total - All Places of Death,75-84 years,255,0,156,101,310,1485
By Month,2020,8,4,Alabama,Total - All Places of Death,85 years and over,247,0,136,78,305,1357
By Month,2020,9,4,Alabama,Total - All Places of Death,All Ages,568,0,426,193,801,5110
By Month,2020,9,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5,5,51
By Month,2020,9,4,Alabama,Total - All Places of Death,18-29 years,5,0,0,0,5,88
By Month,2020,9,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,10,138
By Month,2020,9,4,Alabama,Total - All Places of Death,40-49 years,16,0,16,5,25,228
By Month,2020,9,4,Alabama,Total - All Places of Death,50-64 years,85,0,69,21,133,947
By Month,2020,9,4,Alabama,Total - All Places of Death,65-74 years,138,0,118,58,198,1148
By Month,2020,9,4,Alabama,Total - All Places of Death,75-84 years,178,0,128,62,244,1273
By Month,2020,9,4,Alabama,Total - All Places of Death,85 years and over,139,0,88,42,185,1237
By Month,2020,10,4,Alabama,Total - All Places of Death,All Ages,560,5,437,189,810,5199
By Month,2020,10,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,64
By Month,2020,10,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0,5,111
By Month,2020,10,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,5,133
By Month,2020,10,4,Alabama,Total - All Places of Death,40-49 years,18,0,14,5,27,230
By Month,2020,10,4,Alabama,Total - All Places of Death,50-64 years,95,0,65,31,129,940
By Month,2020,10,4,Alabama,Total - All Places of Death,65-74 years,150,0,125,53,222,1173
By Month,2020,10,4,Alabama,Total - All Places of Death,75-84 years,171,5,135,63,244,1330
By Month,2020,10,4,Alabama,Total - All Places of Death,85 years and over,118,5,92,37,174,1218
By Month,2020,11,4,Alabama,Total - All Places of Death,All Ages,768,5,456,232,993,5548
By Month,2020,11,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,46
By Month,2020,11,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,107
By Month,2020,11,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0,15,158
By Month,2020,11,4,Alabama,Total - All Places of Death,40-49 years,20,0,14,5,28,234
By Month,2020,11,4,Alabama,Total - All Places of Death,50-64 years,129,5,86,45,171,998
