group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2021,1,7,Kansas,Total - All Places of Death,75-84 years,241,0,138,110,269,770
By Month,2021,1,7,Kansas,Total - All Places of Death,85 years and over,343,0,156,115,384,1047
By Month,2021,2,7,Kansas,Total - All Places of Death,65-74 years,64,0,54,31,87,501
By Month,2021,2,7,Kansas,Total - All Places of Death,75-84 years,68,0,69,34,103,583
By Month,2021,2,7,Kansas,Total - All Places of Death,85 years and over,92,0,62,27,127,750
By Month,2021,3,7,Kansas,Total - All Places of Death,65-74 years,37,0,41,21,57,476
By Month,2021,3,7,Kansas,Total - All Places of Death,75-84 years,39,0,47,15,71,557
By Month,2021,3,7,Kansas,Total - All Places of Death,85 years and over,25,0,37,5,57,682
By Month,2021,4,7,Kansas,Total - All Places of Death,65-74 years,30,5,38,15,54,449
By Month,2021,4,7,Kansas,Total - All Places of Death,75-84 years,15,0,44,10,49,512
By Month,2021,4,7,Kansas,Total - All Places of Death,85 years and over,16,0,37,5,47,668
By Month,2021,5,7,Kansas,Total - All Places of Death,65-74 years,16,0,27,5,37,469
By Month,2021,5,7,Kansas,Total - All Places of Death,75-84 years,17,0,40,5,52,542
By Month,2021,5,7,Kansas,Total - All Places of Death,85 years and over,18,5,36,5,50,687
By Month,2021,6,7,Kansas,Total - All Places of Death,65-74 years,17,5,36,5,48,438
By Month,2021,6,7,Kansas,Total - All Places of Death,75-84 years,11,0,23,5,29,511
By Month,2021,6,7,Kansas,Total - All Places of Death,85 years and over,5,0,42,5,45,669
By Month,2021,7,7,Kansas,Total - All Places of Death,65-74 years,20,0,33,5,44,478
By Month,2021,7,7,Kansas,Total - All Places of Death,75-84 years,30,0,44,14,60,580
By Month,2021,7,7,Kansas,Total - All Places of Death,85 years and over,27,0,42,10,59,665
By Month,2021,8,7,Kansas,Total - All Places of Death,65-74 years,111,0,95,73,133,574
By Month,2021,8,7,Kansas,Total - All Places of Death,75-84 years,73,5,74,52,96,601
By Month,2021,8,7,Kansas,Total - All Places of Death,85 years and over,73,5,59,33,100,756
By Month,2021,9,7,Kansas,Total - All Places of Death,65-74 years,108,5,84,59,134,568
By Month,2021,9,7,Kansas,Total - All Places of Death,75-84 years,105,0,91,55,141,693
By Month,2021,9,7,Kansas,Total - All Places of Death,85 years and over,71,0,61,31,101,751
By Month,2021,10,7,Kansas,Total - All Places of Death,65-74 years,71,0,67,46,92,544
By Month,2021,10,7,Kansas,Total - All Places of Death,75-84 years,75,0,71,41,105,602
By Month,2021,10,7,Kansas,Total - All Places of Death,85 years and over,65,0,60,29,96,797
By Month,2021,11,7,Kansas,Total - All Places of Death,65-74 years,79,0,73,46,106,555
By Month,2021,11,7,Kansas,Total - All Places of Death,75-84 years,75,5,72,33,115,657
By Month,2021,11,7,Kansas,Total - All Places of Death,85 years and over,98,0,79,47,130,816
By Month,2021,12,7,Kansas,Total - All Places of Death,65-74 years,147,0,99,74,172,693
By Month,2021,12,7,Kansas,Total - All Places of Death,75-84 years,134,5,109,69,175,766
By Month,2021,12,7,Kansas,Total - All Places of Death,85 years and over,97,5,96,45,150,885
By Month,2022,1,7,Kansas,Total - All Places of Death,65-74 years,213,5,128,99,243,775
By Month,2022,1,7,Kansas,Total - All Places of Death,75-84 years,226,5,135,91,273,902
By Month,2022,1,7,Kansas,Total - All Places of Death,85 years and over,195,5,128,72,255,1110
By Month,2022,2,7,Kansas,Total - All Places of Death,65-74 years,137,5,101,72,167,570
By Month,2022,2,7,Kansas,Total - All Places of Death,75-84 years,134,5,99,69,165,688
By Month,2022,2,7,Kansas,Total - All Places of Death,85 years and over,141,5,95,62,178,863
By Month,2022,3,7,Kansas,Total - All Places of Death,65-74 years,42,5,41,23,61,536
By Month,2022,3,7,Kansas,Total - All Places of Death,75-84 years,36,5,44,14,67,601
By Month,2022,3,7,Kansas,Total - All Places of Death,85 years and over,52,5,67,27,98,802
By Month,2022,4,7,Kansas,Total - All Places of Death,65-74 years,5,5,16,5,24,454
By Month,2022,4,7,Kansas,Total - All Places of Death,75-84 years,18,5,35,5,47,568
By Month,2022,4,7,Kansas,Total - All Places of Death,85 years and over,5,5,24,5,30,655
By Month,2022,5,7,Kansas,Total - All Places of Death,65-74 years,12,0,21,5,29,449
By Month,2022,5,7,Kansas,Total - All Places of Death,75-84 years,10,0,30,5,33,554
By Month,2022,5,7,Kansas,Total - All Places of Death,85 years and over,18,0,43,5,55,739
By Month,2022,6,7,Kansas,Total - All Places of Death,65-74 years,13,0,26,5,34,446
By Month,2022,6,7,Kansas,Total - All Places of Death,75-84 years,18,0,27,5,41,539
By Month,2022,6,7,Kansas,Total - All Places of Death,85 years and over,23,5,42,5,58,659
By Month,2022,7,7,Kansas,Total - All Places of Death,65-74 years,12,0,23,5,29,500
By Month,2022,7,7,Kansas,Total - All Places of Death,75-84 years,23,0,35,5,54,547
By Month,2022,7,7,Kansas,Total - All Places of Death,85 years and over,40,0,46,13,73,717
By Month,2022,8,7,Kansas,Total - All Places of Death,65-74 years,22,0,21,5,37,502
By Month,2022,8,7,Kansas,Total - All Places of Death,75-84 years,35,0,32,11,56,587
By Month,2022,8,7,Kansas,Total - All Places of Death,85 years and over,54,5,40,13,82,733
By Month,2022,9,7,Kansas,Total - All Places of Death,65-74 years,11,0,26,5,30,456
By Month,2022,9,7,Kansas,Total - All Places of Death,75-84 years,26,0,40,5,58,547
By Month,2022,9,7,Kansas,Total - All Places of Death,85 years and over,38,0,36,5,66,740
By Month,2022,10,7,Kansas,Total - All Places of Death,65-74 years,19,5,31,5,44,513
By Month,2022,10,7,Kansas,Total - All Places of Death,75-84 years,26,5,49,5,71,645
By Month,2022,10,7,Kansas,Total - All Places of Death,85 years and over,35,5,48,10,75,744
By Month,2022,11,7,Kansas,Total - All Places of Death,65-74 years,19,5,32,5,46,491
By Month,2022,11,7,Kansas,Total - All Places of Death,75-84 years,27,5,36,14,53,649
By Month,2022,11,7,Kansas,Total - All Places of Death,85 years and over,37,5,50,15,75,747
By Month,2022,12,7,Kansas,Total - All Places of Death,65-74 years,25,14,42,11,68,576
By Month,2022,12,7,Kansas,Total - All Places of Death,75-84 years,51,16,53,19,100,713
By Month,2022,12,7,Kansas,Total - All Places of Death,85 years and over,57,20,50,11,115,876
By Month,2023,1,7,Kansas,Total - All Places of Death,65-74 years,26,5,42,12,62,537
By Month,2023,1,7,Kansas,Total - All Places of Death,75-84 years,33,5,53,14,74,634
By Month,2023,1,7,Kansas,Total - All Places of Death,85 years and over,50,10,62,10,111,881
By Month,2023,2,7,Kansas,Total - All Places of Death,65-74 years,12,5,36,5,47,464
By Month,2023,2,7,Kansas,Total - All Places of Death,75-84 years,19,0,37,5,50,573
By Month,2023,2,7,Kansas,Total - All Places of Death,85 years and over,29,5,49,11,68,755
By Month,2023,3,7,Kansas,Total - All Places of Death,65-74 years,16,5,41,5,50,504
By Month,2023,3,7,Kansas,Total - All Places of Death,75-84 years,29,5,58,13,75,678
By Month,2023,3,7,Kansas,Total - All Places of Death,85 years and over,29,5,51,5,75,808
By Month,2023,4,7,Kansas,Total - All Places of Death,65-74 years,5,0,20,5,25,348
By Month,2023,4,7,Kansas,Total - All Places of Death,75-84 years,15,5,31,5,41,508
By Month,2023,4,7,Kansas,Total - All Places of Death,85 years and over,13,5,37,5,47,569
By Month,2020,1,4,Kentucky,Total - All Places of Death,65-74 years,0,13,102,0,115,1004
By Month,2020,1,4,Kentucky,Total - All Places of Death,75-84 years,0,12,129,0,141,1177
By Month,2020,1,4,Kentucky,Total - All Places of Death,85 years and over,0,5,106,0,110,1062
By Month,2020,2,4,Kentucky,Total - All Places of Death,65-74 years,0,5,77,0,83,861
By Month,2020,2,4,Kentucky,Total - All Places of Death,75-84 years,0,5,100,0,105,981
By Month,2020,2,4,Kentucky,Total - All Places of Death,85 years and over,0,10,90,0,100,996
By Month,2020,3,4,Kentucky,Total - All Places of Death,65-74 years,5,11,81,5,96,939
By Month,2020,3,4,Kentucky,Total - All Places of Death,75-84 years,5,5,107,5,118,1074
By Month,2020,3,4,Kentucky,Total - All Places of Death,85 years and over,5,5,96,5,105,1007
By Month,2020,4,4,Kentucky,Total - All Places of Death,65-74 years,52,5,92,27,121,897
By Month,2020,4,4,Kentucky,Total - All Places of Death,75-84 years,61,5,134,37,159,1046
By Month,2020,4,4,Kentucky,Total - All Places of Death,85 years and over,91,5,127,41,179,1024
By Month,2020,5,4,Kentucky,Total - All Places of Death,65-74 years,56,0,117,35,138,907
By Month,2020,5,4,Kentucky,Total - All Places of Death,75-84 years,52,0,100,22,130,1024
By Month,2020,5,4,Kentucky,Total - All Places of Death,85 years and over,85,0,106,28,163,1031
By Month,2020,6,4,Kentucky,Total - All Places of Death,65-74 years,30,0,94,15,109,903
By Month,2020,6,4,Kentucky,Total - All Places of Death,75-84 years,40,0,109,22,127,943
By Month,2020,6,4,Kentucky,Total - All Places of Death,85 years and over,57,5,93,23,128,944
By Month,2020,7,4,Kentucky,Total - All Places of Death,65-74 years,46,0,81,18,109,936
By Month,2020,7,4,Kentucky,Total - All Places of Death,75-84 years,45,0,109,20,134,1021
By Month,2020,7,4,Kentucky,Total - All Places of Death,85 years and over,59,0,78,14,123,1050
By Month,2020,8,4,Kentucky,Total - All Places of Death,65-74 years,78,5,111,36,153,1015
By Month,2020,8,4,Kentucky,Total - All Places of Death,75-84 years,95,0,119,46,168,1074
By Month,2020,8,4,Kentucky,Total - All Places of Death,85 years and over,78,0,96,36,138,989
By Month,2020,9,4,Kentucky,Total - All Places of Death,65-74 years,54,0,86,29,111,920
By Month,2020,9,4,Kentucky,Total - All Places of Death,75-84 years,94,0,125,46,173,1092
By Month,2020,9,4,Kentucky,Total - All Places of Death,85 years and over,112,0,99,41,170,1043
By Month,2020,10,4,Kentucky,Total - All Places of Death,65-74 years,119,5,134,56,198,1079
By Month,2020,10,4,Kentucky,Total - All Places of Death,75-84 years,139,0,144,70,213,1190
By Month,2020,10,4,Kentucky,Total - All Places of Death,85 years and over,172,0,121,69,224,1192
By Month,2020,11,4,Kentucky,Total - All Places of Death,65-74 years,225,5,201,131,296,1142
By Month,2020,11,4,Kentucky,Total - All Places of Death,75-84 years,309,5,256,173,392,1345
By Month,2020,11,4,Kentucky,Total - All Places of Death,85 years and over,357,0,206,144,419,1395
By Month,2020,12,4,Kentucky,Total - All Places of Death,65-74 years,353,5,284,194,443,1390
By Month,2020,12,4,Kentucky,Total - All Places of Death,75-84 years,494,0,317,248,563,1577
By Month,2020,12,4,Kentucky,Total - All Places of Death,85 years and over,561,0,289,214,636,1632
By Month,2021,1,4,Kentucky,Total - All Places of Death,65-74 years,349,0,285,219,415,1349
By Month,2021,1,4,Kentucky,Total - All Places of Death,75-84 years,418,5,309,226,502,1483
By Month,2021,1,4,Kentucky,Total - All Places of Death,85 years and over,398,5,245,169,475,1429
By Month,2021,2,4,Kentucky,Total - All Places of Death,65-74 years,195,5,189,127,257,1037
By Month,2021,2,4,Kentucky,Total - All Places of Death,75-84 years,233,5,196,129,302,1135
By Month,2021,2,4,Kentucky,Total - All Places of Death,85 years and over,185,5,147,83,250,1076
By Month,2021,3,4,Kentucky,Total - All Places of Death,65-74 years,104,0,144,70,178,1065
By Month,2021,3,4,Kentucky,Total - All Places of Death,75-84 years,122,0,153,74,201,1111
By Month,2021,3,4,Kentucky,Total - All Places of Death,85 years and over,75,0,87,27,135,998
By Month,2021,4,4,Kentucky,Total - All Places of Death,65-74 years,63,0,116,46,133,1002
By Month,2021,4,4,Kentucky,Total - All Places of Death,75-84 years,69,0,103,33,139,1103
By Month,2021,4,4,Kentucky,Total - All Places of Death,85 years and over,40,0,70,11,99,928
By Month,2021,5,4,Kentucky,Total - All Places of Death,65-74 years,61,0,98,38,121,958
By Month,2021,5,4,Kentucky,Total - All Places of Death,75-84 years,72,0,104,37,139,1016
By Month,2021,5,4,Kentucky,Total - All Places of Death,85 years and over,39,0,75,14,100,965
By Month,2021,6,4,Kentucky,Total - All Places of Death,65-74 years,40,0,95,19,116,965
By Month,2021,6,4,Kentucky,Total - All Places of Death,75-84 years,35,0,96,18,113,1068
By Month,2021,6,4,Kentucky,Total - All Places of Death,85 years and over,28,0,75,12,91,891
By Month,2021,7,4,Kentucky,Total - All Places of Death,65-74 years,44,0,82,21,105,1031
By Month,2021,7,4,Kentucky,Total - All Places of Death,75-84 years,63,0,111,38,136,1046
By Month,2021,7,4,Kentucky,Total - All Places of Death,85 years and over,27,0,84,16,95,968
By Month,2021,8,4,Kentucky,Total - All Places of Death,65-74 years,210,0,222,140,292,1177
By Month,2021,8,4,Kentucky,Total - All Places of Death,75-84 years,219,5,230,139,311,1222
By Month,2021,8,4,Kentucky,Total - All Places of Death,85 years and over,136,0,135,77,194,1122
By Month,2021,9,4,Kentucky,Total - All Places of Death,65-74 years,484,5,386,311,560,1475
By Month,2021,9,4,Kentucky,Total - All Places of Death,75-84 years,371,0,323,241,453,1422
By Month,2021,9,4,Kentucky,Total - All Places of Death,85 years and over,215,0,149,101,263,1126
By Month,2021,10,4,Kentucky,Total - All Places of Death,65-74 years,302,0,289,205,386,1333
By Month,2021,10,4,Kentucky,Total - All Places of Death,75-84 years,251,0,254,160,345,1270
By Month,2021,10,4,Kentucky,Total - All Places of Death,85 years and over,156,0,150,74,232,1073
By Month,2021,11,4,Kentucky,Total - All Places of Death,65-74 years,163,5,174,96,242,1162
By Month,2021,11,4,Kentucky,Total - All Places of Death,75-84 years,125,0,150,68,207,1251
By Month,2021,11,4,Kentucky,Total - All Places of Death,85 years and over,89,0,110,41,158,1062
By Month,2021,12,4,Kentucky,Total - All Places of Death,65-74 years,249,5,256,166,340,1325
By Month,2021,12,4,Kentucky,Total - All Places of Death,75-84 years,237,0,253,142,348,1451
By Month,2021,12,4,Kentucky,Total - All Places of Death,85 years and over,132,0,143,70,205,1172
By Month,2022,1,4,Kentucky,Total - All Places of Death,65-74 years,357,5,308,212,454,1392
By Month,2022,1,4,Kentucky,Total - All Places of Death,75-84 years,414,5,375,254,537,1626
By Month,2022,1,4,Kentucky,Total - All Places of Death,85 years and over,275,5,211,125,363,1348
By Month,2022,2,4,Kentucky,Total - All Places of Death,65-74 years,352,5,259,199,413,1199
By Month,2022,2,4,Kentucky,Total - All Places of Death,75-84 years,367,0,275,198,444,1373
By Month,2022,2,4,Kentucky,Total - All Places of Death,85 years and over,286,5,170,123,334,1141
By Month,2022,3,4,Kentucky,Total - All Places of Death,65-74 years,139,5,155,74,221,1100
By Month,2022,3,4,Kentucky,Total - All Places of Death,75-84 years,152,5,174,81,246,1213
By Month,2022,3,4,Kentucky,Total - All Places of Death,85 years and over,134,5,126,58,203,1076
By Month,2022,4,4,Kentucky,Total - All Places of Death,65-74 years,39,5,90,14,121,963
By Month,2022,4,4,Kentucky,Total - All Places of Death,75-84 years,68,5,97,22,144,1139
By Month,2022,4,4,Kentucky,Total - All Places of Death,85 years and over,57,5,80,15,126,986
By Month,2022,5,4,Kentucky,Total - All Places of Death,65-74 years,38,5,91,10,120,967
By Month,2022,5,4,Kentucky,Total - All Places of Death,75-84 years,58,5,111,24,146,1097
By Month,2022,5,4,Kentucky,Total - All Places of Death,85 years and over,43,5,70,13,103,954
By Month,2022,6,4,Kentucky,Total - All Places of Death,65-74 years,42,0,86,15,113,974
By Month,2022,6,4,Kentucky,Total - All Places of Death,75-84 years,68,0,122,28,162,1091
By Month,2022,6,4,Kentucky,Total - All Places of Death,85 years and over,80,0,79,21,138,956
By Month,2022,7,4,Kentucky,Total - All Places of Death,65-74 years,65,5,100,27,139,998
By Month,2022,7,4,Kentucky,Total - All Places of Death,75-84 years,99,0,107,25,181,1138
By Month,2022,7,4,Kentucky,Total - All Places of Death,85 years and over,91,5,98,32,158,994
By Month,2022,8,4,Kentucky,Total - All Places of Death,65-74 years,84,0,93,24,153,1023
By Month,2022,8,4,Kentucky,Total - All Places of Death,75-84 years,126,0,111,44,193,1203
By Month,2022,8,4,Kentucky,Total - All Places of Death,85 years and over,91,0,76,30,137,946
By Month,2022,9,4,Kentucky,Total - All Places of Death,65-74 years,77,0,98,22,153,953
By Month,2022,9,4,Kentucky,Total - All Places of Death,75-84 years,106,5,114,32,189,1112
By Month,2022,9,4,Kentucky,Total - All Places of Death,85 years and over,111,5,83,34,160,978
By Month,2022,10,4,Kentucky,Total - All Places of Death,65-74 years,52,0,113,23,142,1091
By Month,2022,10,4,Kentucky,Total - All Places of Death,75-84 years,69,5,102,23,149,1153
By Month,2022,10,4,Kentucky,Total - All Places of Death,85 years and over,87,5,81,20,149,1065
By Month,2022,11,4,Kentucky,Total - All Places of Death,65-74 years,61,15,90,23,142,1040
By Month,2022,11,4,Kentucky,Total - All Places of Death,75-84 years,86,13,134,30,202,1278
By Month,2022,11,4,Kentucky,Total - All Places of Death,85 years and over,89,11,96,22,172,1069
By Month,2022,12,4,Kentucky,Total - All Places of Death,65-74 years,75,39,128,27,212,1191
By Month,2022,12,4,Kentucky,Total - All Places of Death,75-84 years,102,39,174,38,273,1331
By Month,2022,12,4,Kentucky,Total - All Places of Death,85 years and over,108,43,120,30,234,1234
By Month,2023,1,4,Kentucky,Total - All Places of Death,65-74 years,66,5,127,36,162,1109
By Month,2023,1,4,Kentucky,Total - All Places of Death,75-84 years,100,20,159,29,245,1336
By Month,2023,1,4,Kentucky,Total - All Places of Death,85 years and over,111,5,134,40,211,1141
By Month,2023,2,4,Kentucky,Total - All Places of Death,65-74 years,31,5,98,13,117,946
By Month,2023,2,4,Kentucky,Total - All Places of Death,75-84 years,75,0,139,35,179,1157
By Month,2023,2,4,Kentucky,Total - All Places of Death,85 years and over,81,0,82,24,139,983
By Month,2023,3,4,Kentucky,Total - All Places of Death,65-74 years,35,5,111,15,132,972
By Month,2023,3,4,Kentucky,Total - All Places of Death,75-84 years,52,5,109,15,147,1138
By Month,2023,3,4,Kentucky,Total - All Places of Death,85 years and over,61,5,79,13,128,1025
By Month,2023,4,4,Kentucky,Total - All Places of Death,65-74 years,14,0,48,5,57,535
By Month,2023,4,4,Kentucky,Total - All Places of Death,75-84 years,22,0,44,5,58,619
By Month,2023,4,4,Kentucky,Total - All Places of Death,85 years and over,26,0,35,5,54,542
By Month,2020,1,6,Louisiana,Total - All Places of Death,65-74 years,0,5,55,0,57,968
By Month,2020,1,6,Louisiana,Total - All Places of Death,75-84 years,0,5,57,0,61,1002
By Month,2020,1,6,Louisiana,Total - All Places of Death,85 years and over,0,5,57,0,61,1010
By Month,2020,2,6,Louisiana,Total - All Places of Death,65-74 years,0,5,43,0,49,876
By Month,2020,2,6,Louisiana,Total - All Places of Death,75-84 years,0,5,36,0,44,947
By Month,2020,2,6,Louisiana,Total - All Places of Death,85 years and over,0,5,59,0,66,967
By Month,2020,3,6,Louisiana,Total - All Places of Death,65-74 years,70,5,76,24,129,1008
By Month,2020,3,6,Louisiana,Total - All Places of Death,75-84 years,117,5,104,45,181,1133
By Month,2020,3,6,Louisiana,Total - All Places of Death,85 years and over,76,5,93,30,142,1185
By Month,2020,4,6,Louisiana,Total - All Places of Death,65-74 years,363,5,217,162,419,1226
By Month,2020,4,6,Louisiana,Total - All Places of Death,75-84 years,494,5,288,224,560,1466
By Month,2020,4,6,Louisiana,Total - All Places of Death,85 years and over,434,5,259,205,490,1484
By Month,2020,5,6,Louisiana,Total - All Places of Death,65-74 years,185,5,157,107,236,1027
By Month,2020,5,6,Louisiana,Total - All Places of Death,75-84 years,197,0,150,100,247,1149
By Month,2020,5,6,Louisiana,Total - All Places of Death,85 years and over,193,0,134,96,231,1141
By Month,2020,6,6,Louisiana,Total - All Places of Death,65-74 years,81,0,72,41,112,875
By Month,2020,6,6,Louisiana,Total - All Places of Death,75-84 years,102,0,94,56,140,957
By Month,2020,6,6,Louisiana,Total - All Places of Death,85 years and over,107,0,84,49,142,1049
By Month,2020,7,6,Louisiana,Total - All Places of Death,65-74 years,154,0,134,81,207,1084
By Month,2020,7,6,Louisiana,Total - All Places of Death,75-84 years,234,0,154,107,281,1158
By Month,2020,7,6,Louisiana,Total - All Places of Death,85 years and over,198,0,132,92,238,1203
By Month,2020,8,6,Louisiana,Total - All Places of Death,65-74 years,233,0,188,138,283,1154
By Month,2020,8,6,Louisiana,Total - All Places of Death,75-84 years,267,0,177,132,312,1254
By Month,2020,8,6,Louisiana,Total - All Places of Death,85 years and over,207,0,153,104,256,1211
By Month,2020,9,6,Louisiana,Total - All Places of Death,65-74 years,121,0,87,59,149,986
By Month,2020,9,6,Louisiana,Total - All Places of Death,75-84 years,113,0,106,63,156,1035
By Month,2020,9,6,Louisiana,Total - All Places of Death,85 years and over,94,0,91,47,138,999
By Month,2020,10,6,Louisiana,Total - All Places of Death,65-74 years,87,0,81,50,118,938
By Month,2020,10,6,Louisiana,Total - All Places of Death,75-84 years,98,0,102,50,150,1059
By Month,2020,10,6,Louisiana,Total - All Places of Death,85 years and over,75,0,87,35,127,988
By Month,2020,11,6,Louisiana,Total - All Places of Death,65-74 years,130,0,125,82,173,1037
By Month,2020,11,6,Louisiana,Total - All Places of Death,75-84 years,154,5,118,87,185,1015
By Month,2020,11,6,Louisiana,Total - All Places of Death,85 years and over,108,0,93,55,146,1044
By Month,2020,12,6,Louisiana,Total - All Places of Death,65-74 years,276,5,209,167,319,1193
By Month,2020,12,6,Louisiana,Total - All Places of Death,75-84 years,306,0,222,170,358,1317
By Month,2020,12,6,Louisiana,Total - All Places of Death,85 years and over,240,0,149,111,278,1235
By Month,2021,1,6,Louisiana,Total - All Places of Death,65-74 years,375,0,254,199,430,1347
By Month,2021,1,6,Louisiana,Total - All Places of Death,75-84 years,377,0,250,200,427,1414
By Month,2021,1,6,Louisiana,Total - All Places of Death,85 years and over,303,5,199,158,345,1393
By Month,2021,2,6,Louisiana,Total - All Places of Death,65-74 years,203,0,130,103,230,1081
By Month,2021,2,6,Louisiana,Total - All Places of Death,75-84 years,172,0,140,105,207,1111
By Month,2021,2,6,Louisiana,Total - All Places of Death,85 years and over,104,0,81,40,145,1008
By Month,2021,3,6,Louisiana,Total - All Places of Death,65-74 years,90,0,84,48,126,951
By Month,2021,3,6,Louisiana,Total - All Places of Death,75-84 years,86,0,100,49,137,1092
By Month,2021,3,6,Louisiana,Total - All Places of Death,85 years and over,58,0,54,25,87,1005
By Month,2021,4,6,Louisiana,Total - All Places of Death,65-74 years,47,0,63,23,87,929
By Month,2021,4,6,Louisiana,Total - All Places of Death,75-84 years,47,5,63,21,90,942
By Month,2021,4,6,Louisiana,Total - All Places of Death,85 years and over,16,0,39,5,51,912
By Month,2021,5,6,Louisiana,Total - All Places of Death,65-74 years,55,0,70,35,90,930
By Month,2021,5,6,Louisiana,Total - All Places of Death,75-84 years,25,0,55,16,64,938
By Month,2021,5,6,Louisiana,Total - All Places of Death,85 years and over,21,0,46,5,62,893
By Month,2021,6,6,Louisiana,Total - All Places of Death,65-74 years,37,0,63,22,78,923
By Month,2021,6,6,Louisiana,Total - All Places of Death,75-84 years,24,5,41,13,53,974
By Month,2021,6,6,Louisiana,Total - All Places of Death,85 years and over,11,0,32,5,40,933
By Month,2021,7,6,Louisiana,Total - All Places of Death,65-74 years,73,0,74,41,106,1016
By Month,2021,7,6,Louisiana,Total - All Places of Death,75-84 years,68,5,76,33,112,1069
By Month,2021,7,6,Louisiana,Total - All Places of Death,85 years and over,41,0,59,22,78,947
By Month,2021,8,6,Louisiana,Total - All Places of Death,65-74 years,444,0,308,253,499,1427
By Month,2021,8,6,Louisiana,Total - All Places of Death,75-84 years,323,0,238,185,376,1292
By Month,2021,8,6,Louisiana,Total - All Places of Death,85 years and over,206,0,134,100,240,1187
By Month,2021,9,6,Louisiana,Total - All Places of Death,65-74 years,338,0,255,216,377,1231
By Month,2021,9,6,Louisiana,Total - All Places of Death,75-84 years,201,0,157,124,234,1117
By Month,2021,9,6,Louisiana,Total - All Places of Death,85 years and over,108,0,97,57,148,1040
By Month,2021,10,6,Louisiana,Total - All Places of Death,65-74 years,108,0,105,68,145,1015
By Month,2021,10,6,Louisiana,Total - All Places of Death,75-84 years,79,0,73,43,109,1045
By Month,2021,10,6,Louisiana,Total - All Places of Death,85 years and over,60,5,54,22,93,988
By Month,2021,11,6,Louisiana,Total - All Places of Death,65-74 years,50,0,64,29,85,1036
By Month,2021,11,6,Louisiana,Total - All Places of Death,75-84 years,47,0,72,22,97,1031
By Month,2021,11,6,Louisiana,Total - All Places of Death,85 years and over,27,0,40,5,59,911
By Month,2021,12,6,Louisiana,Total - All Places of Death,65-74 years,46,5,62,24,85,966
By Month,2021,12,6,Louisiana,Total - All Places of Death,75-84 years,32,5,66,16,85,1046
By Month,2021,12,6,Louisiana,Total - All Places of Death,85 years and over,29,0,54,11,72,941
By Month,2022,1,6,Louisiana,Total - All Places of Death,65-74 years,219,5,153,112,263,1219
By Month,2022,1,6,Louisiana,Total - All Places of Death,75-84 years,260,5,193,131,323,1387
By Month,2022,1,6,Louisiana,Total - All Places of Death,85 years and over,218,0,141,92,267,1388
By Month,2022,2,6,Louisiana,Total - All Places of Death,65-74 years,198,0,143,112,229,1084
By Month,2022,2,6,Louisiana,Total - All Places of Death,75-84 years,239,5,157,122,275,1212
By Month,2022,2,6,Louisiana,Total - All Places of Death,85 years and over,163,5,112,80,196,1103
By Month,2022,3,6,Louisiana,Total - All Places of Death,65-74 years,66,5,67,36,101,934
By Month,2022,3,6,Louisiana,Total - All Places of Death,75-84 years,66,0,88,40,114,1064
By Month,2022,3,6,Louisiana,Total - All Places of Death,85 years and over,52,0,55,23,84,947
By Month,2022,4,6,Louisiana,Total - All Places of Death,65-74 years,18,5,30,10,39,862
By Month,2022,4,6,Louisiana,Total - All Places of Death,75-84 years,23,5,30,5,50,896
By Month,2022,4,6,Louisiana,Total - All Places of Death,85 years and over,17,0,33,5,48,858
By Month,2022,5,6,Louisiana,Total - All Places of Death,65-74 years,15,0,37,5,43,914
By Month,2022,5,6,Louisiana,Total - All Places of Death,75-84 years,13,0,44,5,55,981
By Month,2022,5,6,Louisiana,Total - All Places of Death,85 years and over,11,0,32,5,42,882
By Month,2022,6,6,Louisiana,Total - All Places of Death,65-74 years,5,5,25,5,34,872
By Month,2022,6,6,Louisiana,Total - All Places of Death,75-84 years,20,0,38,5,50,915
By Month,2022,6,6,Louisiana,Total - All Places of Death,85 years and over,28,0,45,5,66,896
By Month,2022,7,6,Louisiana,Total - All Places of Death,65-74 years,49,5,38,10,79,948
By Month,2022,7,6,Louisiana,Total - All Places of Death,75-84 years,72,5,56,27,102,1011
By Month,2022,7,6,Louisiana,Total - All Places of Death,85 years and over,67,0,62,24,105,931
By Month,2022,8,6,Louisiana,Total - All Places of Death,65-74 years,44,0,61,19,86,912
By Month,2022,8,6,Louisiana,Total - All Places of Death,75-84 years,62,0,71,21,112,1032
By Month,2022,8,6,Louisiana,Total - All Places of Death,85 years and over,76,0,43,16,103,960
By Month,2022,9,6,Louisiana,Total - All Places of Death,65-74 years,25,5,29,5,47,879
By Month,2022,9,6,Louisiana,Total - All Places of Death,75-84 years,58,5,45,19,85,973
By Month,2022,9,6,Louisiana,Total - All Places of Death,85 years and over,48,0,35,16,67,847
By Month,2022,10,6,Louisiana,Total - All Places of Death,65-74 years,14,0,36,5,46,936
By Month,2022,10,6,Louisiana,Total - All Places of Death,75-84 years,34,0,38,5,63,999
By Month,2022,10,6,Louisiana,Total - All Places of Death,85 years and over,29,5,41,5,65,887
By Month,2022,11,6,Louisiana,Total - All Places of Death,65-74 years,10,5,40,5,54,965
By Month,2022,11,6,Louisiana,Total - All Places of Death,75-84 years,27,5,54,11,74,1018
By Month,2022,11,6,Louisiana,Total - All Places of Death,85 years and over,19,5,42,5,56,997
