group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2021,12,4,Alabama,Total - All Places of Death,65-74 years,79,0,86,26,139,1189
By Month,2021,12,4,Alabama,Total - All Places of Death,75-84 years,76,0,87,23,140,1304
By Month,2021,12,4,Alabama,Total - All Places of Death,85 years and over,44,5,80,14,112,1206
By Month,2022,1,4,Alabama,Total - All Places of Death,65-74 years,295,0,169,106,358,1547
By Month,2022,1,4,Alabama,Total - All Places of Death,75-84 years,330,5,186,111,409,1718
By Month,2022,1,4,Alabama,Total - All Places of Death,85 years and over,227,5,139,71,296,1515
By Month,2022,2,4,Alabama,Total - All Places of Death,65-74 years,360,0,191,133,418,1381
By Month,2022,2,4,Alabama,Total - All Places of Death,75-84 years,348,5,211,140,421,1562
By Month,2022,2,4,Alabama,Total - All Places of Death,85 years and over,249,5,124,75,299,1388
By Month,2022,3,4,Alabama,Total - All Places of Death,65-74 years,105,5,90,36,160,1139
By Month,2022,3,4,Alabama,Total - All Places of Death,75-84 years,121,5,105,40,189,1312
By Month,2022,3,4,Alabama,Total - All Places of Death,85 years and over,58,5,63,19,104,1103
By Month,2022,4,4,Alabama,Total - All Places of Death,65-74 years,25,0,58,5,79,1040
By Month,2022,4,4,Alabama,Total - All Places of Death,75-84 years,22,0,68,5,86,1111
By Month,2022,4,4,Alabama,Total - All Places of Death,85 years and over,21,5,40,5,58,1043
By Month,2022,5,4,Alabama,Total - All Places of Death,65-74 years,13,0,59,5,70,1052
By Month,2022,5,4,Alabama,Total - All Places of Death,75-84 years,16,0,60,5,72,1156
By Month,2022,5,4,Alabama,Total - All Places of Death,85 years and over,17,0,46,5,62,1027
By Month,2022,6,4,Alabama,Total - All Places of Death,65-74 years,22,0,62,10,74,1015
By Month,2022,6,4,Alabama,Total - All Places of Death,75-84 years,36,0,56,10,82,1154
By Month,2022,6,4,Alabama,Total - All Places of Death,85 years and over,31,0,48,5,74,1048
By Month,2022,7,4,Alabama,Total - All Places of Death,65-74 years,54,0,51,10,95,995
By Month,2022,7,4,Alabama,Total - All Places of Death,75-84 years,74,5,84,25,134,1245
By Month,2022,7,4,Alabama,Total - All Places of Death,85 years and over,64,0,45,13,96,1119
By Month,2022,8,4,Alabama,Total - All Places of Death,65-74 years,52,0,72,12,112,1063
By Month,2022,8,4,Alabama,Total - All Places of Death,75-84 years,81,0,68,18,131,1235
By Month,2022,8,4,Alabama,Total - All Places of Death,85 years and over,80,0,65,26,119,1077
By Month,2022,9,4,Alabama,Total - All Places of Death,65-74 years,49,0,70,14,105,1075
By Month,2022,9,4,Alabama,Total - All Places of Death,75-84 years,50,0,78,17,111,1176
By Month,2022,9,4,Alabama,Total - All Places of Death,85 years and over,57,0,38,15,80,1042
By Month,2022,10,4,Alabama,Total - All Places of Death,65-74 years,27,5,70,5,90,1145
By Month,2022,10,4,Alabama,Total - All Places of Death,75-84 years,35,5,81,16,102,1331
By Month,2022,10,4,Alabama,Total - All Places of Death,85 years and over,24,5,49,5,69,1121
By Month,2022,11,4,Alabama,Total - All Places of Death,65-74 years,24,10,48,5,76,1052
By Month,2022,11,4,Alabama,Total - All Places of Death,75-84 years,35,15,77,11,114,1305
By Month,2022,11,4,Alabama,Total - All Places of Death,85 years and over,25,5,56,5,81,1130
By Month,2022,12,4,Alabama,Total - All Places of Death,65-74 years,42,12,89,14,129,1172
By Month,2022,12,4,Alabama,Total - All Places of Death,75-84 years,46,11,112,15,151,1402
By Month,2022,12,4,Alabama,Total - All Places of Death,85 years and over,52,5,70,16,113,1246
By Month,2023,1,4,Alabama,Total - All Places of Death,65-74 years,63,5,83,17,134,1196
By Month,2023,1,4,Alabama,Total - All Places of Death,75-84 years,87,5,111,33,166,1411
By Month,2023,1,4,Alabama,Total - All Places of Death,85 years and over,75,5,80,22,138,1269
By Month,2023,2,4,Alabama,Total - All Places of Death,65-74 years,36,5,72,14,95,1019
By Month,2023,2,4,Alabama,Total - All Places of Death,75-84 years,52,5,102,22,135,1296
By Month,2023,2,4,Alabama,Total - All Places of Death,85 years and over,44,5,67,15,97,1089
By Month,2023,3,4,Alabama,Total - All Places of Death,65-74 years,19,0,67,5,81,1091
By Month,2023,3,4,Alabama,Total - All Places of Death,75-84 years,28,0,92,13,107,1224
By Month,2023,3,4,Alabama,Total - All Places of Death,85 years and over,33,5,57,5,84,1119
By Month,2023,4,4,Alabama,Total - All Places of Death,65-74 years,5,0,39,5,43,627
By Month,2023,4,4,Alabama,Total - All Places of Death,75-84 years,11,0,31,5,40,727
By Month,2023,4,4,Alabama,Total - All Places of Death,85 years and over,19,0,43,5,54,733
By Month,2020,1,10,Alaska,Total - All Places of Death,65-74 years,0,0,5,0,5,86
By Month,2020,1,10,Alaska,Total - All Places of Death,75-84 years,0,5,5,0,5,84
By Month,2020,1,10,Alaska,Total - All Places of Death,85 years and over,0,0,5,0,5,98
By Month,2020,2,10,Alaska,Total - All Places of Death,65-74 years,0,5,5,0,5,90
By Month,2020,2,10,Alaska,Total - All Places of Death,75-84 years,0,0,5,0,5,71
By Month,2020,2,10,Alaska,Total - All Places of Death,85 years and over,0,5,5,0,5,68
By Month,2020,3,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,5,5,73
By Month,2020,3,10,Alaska,Total - All Places of Death,75-84 years,0,5,5,0,5,87
By Month,2020,3,10,Alaska,Total - All Places of Death,85 years and over,0,0,5,0,5,60
By Month,2020,4,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,75
By Month,2020,4,10,Alaska,Total - All Places of Death,75-84 years,0,0,5,0,5,88
By Month,2020,4,10,Alaska,Total - All Places of Death,85 years and over,0,0,5,0,5,63
By Month,2020,5,10,Alaska,Total - All Places of Death,65-74 years,0,0,5,0,5,84
By Month,2020,5,10,Alaska,Total - All Places of Death,75-84 years,0,0,5,0,5,70
By Month,2020,5,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,0,5,73
By Month,2020,6,10,Alaska,Total - All Places of Death,65-74 years,0,0,0,0,0,73
By Month,2020,6,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,76
By Month,2020,6,10,Alaska,Total - All Places of Death,85 years and over,0,0,0,0,0,61
By Month,2020,7,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,98
By Month,2020,7,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,87
By Month,2020,7,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,66
By Month,2020,8,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,11,88
By Month,2020,8,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,93
By Month,2020,8,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,71
By Month,2020,9,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,94
By Month,2020,9,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,73
By Month,2020,9,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,78
By Month,2020,10,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,103
By Month,2020,10,10,Alaska,Total - All Places of Death,75-84 years,12,0,5,5,14,101
By Month,2020,10,10,Alaska,Total - All Places of Death,85 years and over,10,0,10,5,14,82
By Month,2020,11,10,Alaska,Total - All Places of Death,65-74 years,14,0,14,5,19,99
