,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
0,By Month,2021,1,4,Alabama,Total - All Places of Death,All Ages,2415,5,1164,891.0,2692,7821
1,By Month,2021,1,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,0.0,5,59
2,By Month,2021,1,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,126
3,By Month,2021,1,4,Alabama,Total - All Places of Death,30-39 years,26,0,12,5.0,30,167
4,By Month,2021,1,4,Alabama,Total - All Places of Death,40-49 years,61,0,33,23.0,71,315
5,By Month,2021,1,4,Alabama,Total - All Places of Death,50-64 years,429,5,199,149.0,481,1448
6,By Month,2021,1,4,Alabama,Total - All Places of Death,65-74 years,628,5,319,249.0,700,1793
7,By Month,2021,1,4,Alabama,Total - All Places of Death,75-84 years,734,5,363,289.0,808,2041
8,By Month,2021,1,4,Alabama,Total - All Places of Death,85 years and over,533,5,233,172.0,594,1872
9,By Month,2021,2,4,Alabama,Total - All Places of Death,All Ages,970,5,560,345.0,1189,5554
10,By Month,2021,2,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,52
11,By Month,2021,2,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,98
12,By Month,2021,2,4,Alabama,Total - All Places of Death,30-39 years,10,0,5,5.0,13,146
13,By Month,2021,2,4,Alabama,Total - All Places of Death,40-49 years,28,0,20,10.0,38,226
14,By Month,2021,2,4,Alabama,Total - All Places of Death,50-64 years,187,5,114,71.0,231,1041
15,By Month,2021,2,4,Alabama,Total - All Places of Death,65-74 years,300,0,161,106.0,355,1278
16,By Month,2021,2,4,Alabama,Total - All Places of Death,75-84 years,288,5,160,105.0,345,1470
17,By Month,2021,2,4,Alabama,Total - All Places of Death,85 years and over,153,5,97,49.0,202,1243
18,By Month,2021,3,4,Alabama,Total - All Places of Death,All Ages,393,5,364,143.0,615,5076
19,By Month,2021,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,75
20,By Month,2021,3,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0.0,5,99
21,By Month,2021,3,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,5,148
22,By Month,2021,3,4,Alabama,Total - All Places of Death,40-49 years,15,0,12,5.0,23,241
23,By Month,2021,3,4,Alabama,Total - All Places of Death,50-64 years,78,5,67,37.0,108,982
24,By Month,2021,3,4,Alabama,Total - All Places of Death,65-74 years,117,5,108,43.0,183,1132
25,By Month,2021,3,4,Alabama,Total - All Places of Death,75-84 years,113,0,107,39.0,181,1314
26,By Month,2021,3,4,Alabama,Total - All Places of Death,85 years and over,60,0,64,18.0,106,1085
27,By Month,2021,4,4,Alabama,Total - All Places of Death,All Ages,216,5,287,72.0,432,4972
28,By Month,2021,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,64
29,By Month,2021,4,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,121
30,By Month,2021,4,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,5.0,5,161
31,By Month,2021,4,4,Alabama,Total - All Places of Death,40-49 years,17,0,18,5.0,27,283
32,By Month,2021,4,4,Alabama,Total - All Places of Death,50-64 years,48,5,57,20.0,86,940
33,By Month,2021,4,4,Alabama,Total - All Places of Death,65-74 years,52,0,83,18.0,117,1162
34,By Month,2021,4,4,Alabama,Total - All Places of Death,75-84 years,48,0,68,11.0,105,1184
35,By Month,2021,4,4,Alabama,Total - All Places of Death,85 years and over,43,0,49,10.0,82,1057
36,By Month,2021,5,4,Alabama,Total - All Places of Death,All Ages,212,5,277,79.0,411,4910
37,By Month,2021,5,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,64
38,By Month,2021,5,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,114
39,By Month,2021,5,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,5,168
40,By Month,2021,5,4,Alabama,Total - All Places of Death,40-49 years,18,0,12,5.0,25,243
41,By Month,2021,5,4,Alabama,Total - All Places of Death,50-64 years,55,5,52,21.0,87,941
42,By Month,2021,5,4,Alabama,Total - All Places of Death,65-74 years,68,0,83,26.0,125,1143
43,By Month,2021,5,4,Alabama,Total - All Places of Death,75-84 years,38,0,75,15.0,98,1168
44,By Month,2021,5,4,Alabama,Total - All Places of Death,85 years and over,28,0,50,10.0,68,1069
45,By Month,2021,6,4,Alabama,Total - All Places of Death,All Ages,132,5,270,45.0,358,4697
46,By Month,2021,6,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5.0,5,82
47,By Month,2021,6,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0.0,5,110
48,By Month,2021,6,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0.0,10,153
49,By Month,2021,6,4,Alabama,Total - All Places of Death,40-49 years,5,0,10,5.0,15,254
50,By Month,2021,6,4,Alabama,Total - All Places of Death,50-64 years,32,5,50,10.0,73,891
51,By Month,2021,6,4,Alabama,Total - All Places of Death,65-74 years,33,0,78,13.0,98,1042
52,By Month,2021,6,4,Alabama,Total - All Places of Death,75-84 years,35,0,69,12.0,92,1120
53,By Month,2021,6,4,Alabama,Total - All Places of Death,85 years and over,19,0,53,5.0,67,1045
54,By Month,2021,7,4,Alabama,Total - All Places of Death,All Ages,261,0,335,99.0,497,4918
55,By Month,2021,7,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,78
56,By Month,2021,7,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,114
57,By Month,2021,7,4,Alabama,Total - All Places of Death,30-39 years,11,0,5,5.0,16,136
58,By Month,2021,7,4,Alabama,Total - All Places of Death,40-49 years,23,0,22,11.0,34,287
59,By Month,2021,7,4,Alabama,Total - All Places of Death,50-64 years,74,0,75,26.0,123,980
60,By Month,2021,7,4,Alabama,Total - All Places of Death,65-74 years,66,0,85,26.0,125,1089
61,By Month,2021,7,4,Alabama,Total - All Places of Death,75-84 years,51,0,81,18.0,114,1179
62,By Month,2021,7,4,Alabama,Total - All Places of Death,85 years and over,32,0,56,10.0,78,1055
63,By Month,2021,8,4,Alabama,Total - All Places of Death,All Ages,1682,5,854,632.0,1904,6655
64,By Month,2021,8,4,Alabama,Total - All Places of Death,0-17 years,5,0,0,0.0,5,61
65,By Month,2021,8,4,Alabama,Total - All Places of Death,18-29 years,29,0,16,15.0,30,112
66,By Month,2021,8,4,Alabama,Total - All Places of Death,30-39 years,73,0,42,35.0,80,249
67,By Month,2021,8,4,Alabama,Total - All Places of Death,40-49 years,173,5,79,69.0,183,427
68,By Month,2021,8,4,Alabama,Total - All Places of Death,50-64 years,504,0,228,188.0,544,1497
69,By Month,2021,8,4,Alabama,Total - All Places of Death,65-74 years,424,0,214,158.0,480,1527
70,By Month,2021,8,4,Alabama,Total - All Places of Death,75-84 years,312,0,172,114.0,370,1515
71,By Month,2021,8,4,Alabama,Total - All Places of Death,85 years and over,165,0,103,53.0,215,1267
72,By Month,2021,9,4,Alabama,Total - All Places of Death,All Ages,1978,5,981,761.0,2198,6766
73,By Month,2021,9,4,Alabama,Total - All Places of Death,0-17 years,5,0,0,0.0,5,67
74,By Month,2021,9,4,Alabama,Total - All Places of Death,18-29 years,23,0,5,5.0,24,131
