deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
22,0,68,5,86,1111
21,5,40,5,58,1043
65,0,221,15,271,4613
0,0,0,0,0,66
5,0,5,0,5,109
5,0,5,0,5,152
5,0,11,5,13,230
14,0,39,5,46,821
13,0,59,5,70,1052
16,0,60,5,72,1156
17,0,46,5,62,1027
112,0,219,31,300,4618
0,0,5,0,5,54
5,0,5,5,5,87
5,0,5,0,5,158
5,0,11,5,11,245
16,0,36,5,49,857
22,0,62,10,74,1015
36,0,56,10,82,1154
31,0,48,5,74,1048
250,5,235,57,429,4865
5,0,5,5,5,75
5,0,0,0,5,109
5,0,5,0,5,178
5,0,5,5,12,252
44,0,41,5,79,892
54,0,51,10,95,995
74,5,84,25,134,1245
64,0,45,13,96,1119
266,0,270,74,462,4823
0,0,0,0,0,65
5,0,5,5,5,115
5,0,5,5,5,171
5,0,5,5,11,243
36,0,52,13,75,854
52,0,72,12,112,1063
81,0,68,18,131,1235
80,0,65,26,119,1077
194,5,259,58,396,4693
0,0,5,0,5,56
5,0,5,5,5,103
5,0,5,0,5,153
5,5,12,5,15,210
32,0,50,10,72,878
49,0,70,14,105,1075
50,0,78,17,111,1176
57,0,38,15,80,1042
106,16,258,39,340,5072
0,5,5,0,5,56
5,0,5,5,5,99
5,5,5,0,5,159
5,0,5,0,11,247
15,5,43,5,56,914
27,5,70,5,90,1145
35,5,81,16,102,1331
24,5,49,5,69,1121
100,41,232,26,344,4894
0,5,5,0,5,56
0,0,5,0,5,109
5,5,5,0,5,134
5,5,10,0,14,245
12,5,34,5,49,863
24,10,48,5,76,1052
35,15,77,11,114,1305
25,5,56,5,81,1130
170,44,324,50,483,5326
0,0,5,0,5,49
5,0,5,0,5,100
5,5,5,0,5,148
5,5,5,0,13,230
25,10,39,5,68,979
42,12,89,14,129,1172
46,11,112,15,151,1402
52,5,70,16,113,1246
257,18,347,86,532,5316
0,0,5,0,5,48
0,0,0,0,0,107
0,0,5,0,5,163
5,5,13,5,16,247
28,5,54,12,72,875
63,5,83,17,134,1196
87,5,111,33,166,1411
75,5,80,22,138,1269
156,5,298,56,403,4669
0,0,5,0,5,47
5,0,5,0,5,87
5,0,5,0,5,126
5,0,11,0,14,203
18,5,38,5,51,802
36,5,72,14,95,1019
52,5,102,22,135,1296
44,5,67,15,97,1089
93,5,276,28,341,4707
0,0,5,0,5,52
0,0,5,0,5,73
5,0,5,5,5,124
5,0,11,5,11,217
10,0,41,5,50,807
19,0,67,5,81,1091
28,0,92,13,107,1224
33,5,57,5,84,1119
40,0,147,13,174,2769
0,0,0,0,0,15
0,0,0,0,0,18
5,0,0,0,5,43
0,0,5,0,5,119
5,0,29,0,31,487
5,0,39,5,43,627
11,0,31,5,40,727
19,0,43,5,54,733
0,5,10,0,13,422
0,5,0,0,5,5
0,5,0,0,5,13
0,0,5,0,5,21
0,0,5,0,5,23
0,0,5,0,5,88
0,0,5,0,5,86
0,5,5,0,5,84
0,0,5,0,5,98
0,5,14,0,18,363
0,5,0,0,5,5
0,0,0,0,0,16
0,0,5,0,5,12
0,0,0,0,0,24
0,0,5,0,5,73
0,5,5,0,5,90
0,0,5,0,5,71
0,5,5,0,5,68
5,5,28,5,30,356
0,0,5,0,5,11
0,0,5,0,5,17
0,0,0,0,0,22
0,0,0,0,0,12
5,0,5,5,5,74
5,5,5,5,5,73
0,5,5,0,5,87
0,0,5,0,5,60
5,0,15,5,18,357
0,0,0,0,0,5
0,0,0,0,0,15
5,0,5,0,5,12
0,0,0,0,0,25
5,0,5,0,5,71
5,0,5,5,5,75
0,0,5,0,5,88
0,0,5,0,5,63
5,0,15,0,16,386
0,0,0,0,0,5
0,0,0,0,0,19
0,0,5,0,5,24
0,0,5,0,5,25
0,0,5,0,5,86
0,0,5,0,5,84
0,0,5,0,5,70
5,0,5,0,5,73
5,0,12,5,13,370
0,0,0,0,0,10
0,0,5,0,5,18
0,0,0,0,0,23
0,0,5,0,5,17
0,0,5,0,5,92
0,0,0,0,0,73
5,0,5,5,5,76
0,0,0,0,0,61
12,0,18,5,23,432
0,0,0,0,0,5
0,0,0,0,0,32
0,0,0,0,0,25
5,0,5,5,5,34
5,0,5,5,5,82
5,0,5,5,5,98
5,0,5,5,5,87
5,0,5,5,5,66
19,0,20,5,30,428
0,0,0,0,0,11
0,0,0,0,0,16
0,0,0,0,0,26
5,0,5,5,5,28
5,0,5,0,5,95
5,0,5,5,11,88
5,0,5,5,5,93
5,0,5,5,5,71
12,0,16,5,22,423
0,0,0,0,0,5
0,0,0,0,0,13
0,0,5,0,5,31
5,0,5,5,5,31
5,0,5,0,5,95
5,0,5,5,5,94
5,0,5,5,5,73
5,0,5,5,5,78
34,0,36,18,52,465
0,0,0,0,0,5
5,0,5,0,5,19
0,0,5,0,5,33
5,0,5,5,5,27
5,0,5,5,5,93
5,0,5,5,5,103
12,0,5,5,14,101
10,0,10,5,14,82
69,0,60,44,85,499
0,0,0,0,0,14
5,0,5,5,5,14
5,0,5,5,5,21
5,0,5,5,5,30
5,0,5,5,12,100
14,0,14,5,19,99
16,0,14,12,18,120
21,0,17,12,26,101
97,5,68,52,114,507
0,0,0,0,0,5
0,0,0,0,0,11
5,0,0,0,5,30
5,0,5,5,5,33
12,5,5,5,15,98
31,0,18,15,34,114
32,0,23,21,34,117
20,0,14,10,24,96
37,0,32,17,52,473
0,0,0,0,0,10
0,0,0,0,0,18
0,0,0,0,0,29
5,0,5,5,5,27
5,0,5,5,5,98
5,0,5,5,10,96
10,0,5,5,15,95
14,0,5,5,16,100
18,0,17,5,26,365
0,0,0,0,0,5
5,0,0,0,5,14
0,0,5,0,5,17
0,0,0,0,0,16
5,0,5,5,5,78
5,0,5,5,11,91
5,0,5,5,5,84
5,0,5,5,5,56
16,0,19,5,27,420
0,0,5,0,5,13
0,0,0,0,0,22
5,0,0,0,5,23
5,0,0,0,5,23
5,0,5,5,5,84
5,0,5,5,10,90
5,0,5,5,5,86
5,0,0,0,5,79
17,0,18,5,26,414
0,0,0,0,0,5
0,0,0,0,0,17
0,0,5,0,5,24
5,0,0,0,5,30
5,0,5,5,5,98
5,0,5,5,5,92
5,0,5,5,5,77
5,0,5,5,5,68
32,0,31,21,42,433
5,0,0,0,5,12
5,0,5,5,5,23
5,0,5,0,5,29
0,0,0,0,0,27
5,0,5,5,10,93
10,0,10,5,12,92
5,0,5,5,5,84
5,0,5,5,5,73
5,0,11,5,12,414
0,0,0,0,0,5
0,0,0,0,0,23
5,0,0,0,5,32
0,0,0,0,0,25
0,0,5,0,5,79
5,0,5,5,5,96
0,0,5,0,5,74
5,0,5,5,5,81
25,0,36,20,41,467
0,0,0,0,0,12
0,0,0,0,0,24
0,0,5,0,5,28
5,0,5,5,5,29
5,0,5,5,5,92
5,0,5,5,5,116
5,0,10,5,11,97
5,0,5,5,5,69
110,0,78,66,122,593
5,0,0,0,5,5
5,0,5,5,5,31
5,0,5,5,5,38
11,0,5,5,12,42
27,0,18,15,30,124
25,0,12,12,25,128
23,0,21,17,27,130
13,0,10,5,15,91
190,0,132,116,206,643
0,0,0,0,0,5
5,0,0,0,5,16
5,0,5,5,5,36
14,0,11,10,15,36
52,0,35,31,56,151
52,0,38,36,54,157
34,0,33,26,41,137
30,0,5,5,31,105
220,0,148,132,236,715
0,0,0,0,0,5
5,0,5,5,5,24
10,0,5,5,12,40
19,0,14,11,22,54
65,0,40,38,67,161
53,0,38,35,56,170
49,0,33,29,53,145
21,0,14,12,23,117
115,5,84,67,133,590
0,0,0,0,0,5
5,0,5,5,5,17
5,0,5,5,5,35
10,0,5,5,11,33
34,5,24,18,41,146
33,0,29,25,37,149
22,0,16,12,26,111
5,0,5,5,5,90
55,0,61,34,82,548
0,0,5,0,5,11
0,0,5,0,5,12
5,0,5,5,5,28
5,0,5,5,5,37
18,0,13,10,21,119
17,0,17,12,22,119
5,0,12,5,15,133
5,0,11,5,13,89
68,5,54,31,96,519
5,0,5,0,5,5
5,0,0,0,5,15
0,0,5,0,5,28
5,5,5,5,5,32
11,5,5,5,16,114
19,5,15,5,28,124
21,5,16,12,26,112
10,0,5,5,12,88
79,0,55,43,91,433
5,0,0,0,5,5
5,0,0,0,5,17
5,0,5,5,5,27
5,0,5,5,5,24
20,0,14,11,23,85
23,0,16,14,25,105
17,0,15,12,20,91
10,0,5,5,12,77
31,0,31,18,44,447
0,0,0,0,0,5
0,0,5,0,5,19
0,0,5,0,5,23
5,0,5,5,5,25
5,0,5,5,5,94
14,0,5,5,15,105
5,0,5,5,11,94
5,0,5,5,5,78
20,5,23,5,37,413
0,0,0,0,0,5
0,0,5,0,5,11
0,5,5,0,5,31
0,5,0,0,5,22
0,0,5,0,5,73
5,0,5,5,5,91
5,5,5,5,11,87
5,0,5,5,5,91
21,5,25,5,40,432
5,0,5,5,5,5
0,0,0,0,0,15
5,0,5,0,5,23
5,0,5,5,5,24
5,5,5,5,5,82
5,5,5,5,5,106
5,0,5,5,13,106
5,5,5,5,5,70
19,5,22,5,37,470
5,0,0,0,5,11
0,0,0,0,0,21
5,0,5,0,5,28
0,0,5,0,5,26
5,0,5,0,5,108
5,0,5,5,5,97
5,0,5,5,11,95
5,5,5,5,5,84
25,0,21,10,36,493
5,0,0,0,5,19
0,0,5,0,5,20
5,0,5,0,5,41
5,0,5,5,5,31
5,0,5,5,5,89
5,0,5,5,5,116
5,0,5,0,5,95
5,0,5,5,11,82
23,0,26,5,41,464
5,0,0,0,5,5
5,0,0,0,5,23
5,0,5,0,5,27
0,0,5,0,5,29
5,0,5,5,5,94
5,0,5,5,11,108
5,0,5,5,5,96
5,0,5,0,5,78
17,0,22,5,34,443
0,0,0,0,0,5
0,0,0,0,0,5
0,0,5,0,5,26
5,0,0,0,5,26
5,0,5,5,5,106
5,0,5,5,5,108
5,0,5,5,5,95
5,0,5,5,10,69
11,0,19,5,28,461
0,0,0,0,0,5
0,0,0,0,0,19
0,0,0,0,0,32
5,0,5,5,5,37
5,0,5,0,5,96
5,0,5,0,5,85
5,0,5,5,10,105
5,0,5,0,5,84
5,5,16,5,27,437
0,0,5,0,5,14
0,0,0,0,0,17
0,5,0,0,5,25
0,5,5,0,5,31
5,5,5,0,5,95
5,5,5,0,5,92
5,5,5,0,5,85
5,0,5,5,5,78
5,5,27,5,39,530
0,0,0,0,0,5
0,0,0,0,0,16
0,0,5,0,5,31
5,0,5,0,5,27
5,5,10,5,13,109
5,5,5,0,5,123
5,0,5,5,5,137
5,5,5,5,5,79
10,5,28,5,35,490
0,0,0,0,0,5
0,0,0,0,0,20
0,0,5,0,5,23
0,0,5,0,5,35
5,0,5,5,5,97
5,5,10,5,13,114
5,0,5,5,5,107
5,5,5,5,10,87
13,5,22,5,33,402
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,28
5,0,5,5,5,22
5,0,5,0,5,83
5,5,5,0,5,76
5,0,10,5,14,97
5,5,5,5,5,84
5,5,24,5,31,363
0,0,0,0,0,5
0,0,0,0,0,5
0,5,0,0,5,15
0,0,5,0,5,26
5,0,5,0,5,76
5,0,5,5,5,85
5,0,5,0,5,79
5,0,5,5,5,69
5,0,5,0,5,140
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,5,0,5,31
0,0,5,0,5,35
5,0,5,0,5,35
5,0,5,0,5,27
0,40,376,0,416,5843
0,5,5,0,5,69
0,5,5,0,5,132
0,5,5,0,5,167
0,5,5,0,5,196
0,5,68,0,76,909
0,10,74,0,84,1182
0,5,105,0,114,1501
0,5,116,0,120,1687
0,54,340,0,394,5454
0,5,5,0,5,83
0,5,5,0,5,127
0,5,5,0,5,154
0,5,5,0,12,209
0,14,47,0,61,830
0,15,72,0,87,1062
0,5,105,0,114,1434
0,5,98,0,105,1555
64,39,435,34,504,5932
5,0,5,0,5,73
5,0,5,5,5,134
0,0,5,0,5,161
5,5,16,5,21,219
18,5,85,12,99,928
14,10,91,5,111,1205
17,10,112,10,129,1589
5,5,119,5,131,1623
405,5,540,191,762,5879
0,0,0,0,0,54
5,0,5,5,5,131
5,0,5,5,12,140
13,0,17,5,21,217
54,5,75,26,106,916
76,5,125,41,162,1217
114,5,167,52,230,1517
139,5,144,59,226,1687
507,5,564,268,804,5929
5,0,5,5,5,77
5,0,5,5,12,167
5,0,5,5,12,211
22,0,19,13,28,245
88,0,95,44,139,920
90,5,116,49,158,1164
131,0,163,72,222,1498
157,0,155,83,229,1647
899,5,739,488,1152,6546
5,0,5,5,5,71
11,0,5,5,14,199
24,0,11,5,26,235
54,0,31,27,58,298
187,5,136,101,223,1075
183,0,172,109,246,1292
237,0,221,140,318,1655
202,5,158,96,265,1721
2102,5,1589,1251,2441,8386
0,0,5,0,5,74
22,0,12,12,22,207
60,0,34,31,63,331
102,0,67,56,113,392
430,5,319,261,489,1504
505,0,412,326,591,1760
545,0,439,339,645,1997
438,0,305,226,517,2121
942,5,780,538,1185,6712
0,0,0,0,0,51
5,0,5,5,11,189
28,0,17,15,30,247
51,0,40,27,64,339
203,5,169,121,252,1153
244,0,223,155,312,1444
235,0,197,143,289,1642
173,0,127,73,227,1647
273,0,380,149,504,5426
5,0,5,0,5,71
5,0,5,5,5,156
5,0,5,5,10,197
15,0,14,5,22,275
62,0,75,36,101,929
65,0,89,42,112,1058
71,0,105,36,140,1347
50,0,87,24,113,1393
259,0,388,134,513,5611
0,0,0,0,0,82
5,0,5,0,5,147
5,0,5,5,5,213
16,0,13,5,23,249
42,0,76,28,90,915
74,0,102,44,132,1122
67,0,105,32,140,1419
57,0,84,22,119,1464
858,0,758,478,1138,6141
0,0,5,0,5,68
5,0,5,5,10,143
19,0,12,5,24,190
31,0,28,20,39,253
147,0,131,88,190,987
193,0,173,108,258,1246
256,0,224,143,337,1585
205,0,182,108,279,1669
3012,5,2323,1911,3424,9221
5,0,5,5,5,68
5,0,5,5,11,146
41,0,39,27,53,214
95,5,71,56,110,318
476,5,376,307,545,1426
699,0,555,460,794,1975
907,0,690,580,1017,2495
783,0,579,472,890,2579
4032,5,2786,2420,4400,10317
5,0,5,5,5,58
21,0,13,11,23,175
61,0,42,36,67,252
153,5,112,99,167,430
727,0,513,443,797,1722
947,5,680,594,1033,2260
1250,5,856,757,1349,2814
871,5,567,479,960,2606
1668,0,1276,1022,1922,6709
5,0,5,0,5,62
12,0,5,5,13,141
22,0,16,13,25,190
54,0,40,34,60,272
310,0,257,210,357,1171
470,0,370,313,527,1531
483,0,373,291,565,1774
315,0,210,153,372,1568
517,0,562,276,803,6156
5,0,5,5,5,68
5,0,5,0,5,157
5,0,5,5,14,203
19,0,19,5,29,234
96,0,98,53,141,948
136,0,145,86,195,1286
133,0,167,73,227,1672
120,0,120,51,189,1588
235,5,401,129,507,5520
5,0,5,5,5,73
5,0,5,5,5,145
5,0,5,5,5,192
16,0,16,5,23,288
55,5,75,33,97,900
67,0,121,37,151,1209
52,0,104,32,124,1376
35,0,77,15,97,1337
240,0,399,143,496,5792
5,0,5,0,5,75
5,0,5,5,5,164
5,0,12,5,17,255
16,0,18,5,26,294
60,0,89,43,106,945
63,0,99,38,124,1202
58,0,94,37,115,1394
31,0,84,15,100,1463
182,0,363,103,442,5761
0,0,5,0,5,64
5,0,5,5,5,197
5,0,5,0,5,231
16,0,16,5,24,297
40,0,72,25,87,976
51,0,94,34,111,1227
45,0,89,21,113,1412
23,0,82,14,91,1357
290,0,402,168,524,5794
0,0,5,0,5,81
5,0,5,5,11,175
18,0,18,5,27,262
22,0,20,11,31,297
80,0,89,48,121,986
65,0,96,42,119,1217
56,0,92,31,117,1360
43,0,78,24,97,1416
791,5,760,477,1074,6749
5,0,5,5,5,86
17,0,5,5,19,206
54,0,39,29,64,288
85,0,71,57,99,372
227,5,187,143,271,1166
187,0,186,116,257,1443
143,0,158,83,218,1575
76,0,109,42,143,1613
