,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
56,By Month,2022,7,4,Alabama,Total - All Places of Death,18-29 years,5,0,0,0.0,5,109
57,By Month,2022,7,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0.0,5,178
58,By Month,2022,7,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,5.0,12,252
59,By Month,2022,7,4,Alabama,Total - All Places of Death,50-64 years,44,0,41,5.0,79,892
60,By Month,2022,7,4,Alabama,Total - All Places of Death,65-74 years,54,0,51,10.0,95,995
61,By Month,2022,7,4,Alabama,Total - All Places of Death,75-84 years,74,5,84,25.0,134,1245
62,By Month,2022,7,4,Alabama,Total - All Places of Death,85 years and over,64,0,45,13.0,96,1119
63,By Month,2022,8,4,Alabama,Total - All Places of Death,All Ages,266,0,270,74.0,462,4823
64,By Month,2022,8,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,65
65,By Month,2022,8,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,115
66,By Month,2022,8,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,5,171
67,By Month,2022,8,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,5.0,11,243
68,By Month,2022,8,4,Alabama,Total - All Places of Death,50-64 years,36,0,52,13.0,75,854
69,By Month,2022,8,4,Alabama,Total - All Places of Death,65-74 years,52,0,72,12.0,112,1063
70,By Month,2022,8,4,Alabama,Total - All Places of Death,75-84 years,81,0,68,18.0,131,1235
71,By Month,2022,8,4,Alabama,Total - All Places of Death,85 years and over,80,0,65,26.0,119,1077
72,By Month,2022,9,4,Alabama,Total - All Places of Death,All Ages,194,5,259,58.0,396,4693
73,By Month,2022,9,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,56
74,By Month,2022,9,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,103
75,By Month,2022,9,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0.0,5,153
76,By Month,2022,9,4,Alabama,Total - All Places of Death,40-49 years,5,5,12,5.0,15,210
77,By Month,2022,9,4,Alabama,Total - All Places of Death,50-64 years,32,0,50,10.0,72,878
78,By Month,2022,9,4,Alabama,Total - All Places of Death,65-74 years,49,0,70,14.0,105,1075
79,By Month,2022,9,4,Alabama,Total - All Places of Death,75-84 years,50,0,78,17.0,111,1176
80,By Month,2022,9,4,Alabama,Total - All Places of Death,85 years and over,57,0,38,15.0,80,1042
81,By Month,2022,10,4,Alabama,Total - All Places of Death,All Ages,106,16,258,39.0,340,5072
82,By Month,2022,10,4,Alabama,Total - All Places of Death,0-17 years,0,5,5,0.0,5,56
83,By Month,2022,10,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,99
84,By Month,2022,10,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0.0,5,159
85,By Month,2022,10,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,0.0,11,247
86,By Month,2022,10,4,Alabama,Total - All Places of Death,50-64 years,15,5,43,5.0,56,914
87,By Month,2022,10,4,Alabama,Total - All Places of Death,65-74 years,27,5,70,5.0,90,1145
88,By Month,2022,10,4,Alabama,Total - All Places of Death,75-84 years,35,5,81,16.0,102,1331
89,By Month,2022,10,4,Alabama,Total - All Places of Death,85 years and over,24,5,49,5.0,69,1121
90,By Month,2022,11,4,Alabama,Total - All Places of Death,All Ages,100,41,232,26.0,344,4894
91,By Month,2022,11,4,Alabama,Total - All Places of Death,0-17 years,0,5,5,0.0,5,56
92,By Month,2022,11,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0.0,5,109
93,By Month,2022,11,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0.0,5,134
94,By Month,2022,11,4,Alabama,Total - All Places of Death,40-49 years,5,5,10,0.0,14,245
95,By Month,2022,11,4,Alabama,Total - All Places of Death,50-64 years,12,5,34,5.0,49,863
96,By Month,2022,11,4,Alabama,Total - All Places of Death,65-74 years,24,10,48,5.0,76,1052
97,By Month,2022,11,4,Alabama,Total - All Places of Death,75-84 years,35,15,77,11.0,114,1305
98,By Month,2022,11,4,Alabama,Total - All Places of Death,85 years and over,25,5,56,5.0,81,1130
99,By Month,2022,12,4,Alabama,Total - All Places of Death,All Ages,170,44,324,50.0,483,5326
100,By Month,2022,12,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,49
101,By Month,2022,12,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0.0,5,100
102,By Month,2022,12,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0.0,5,148
103,By Month,2022,12,4,Alabama,Total - All Places of Death,40-49 years,5,5,5,0.0,13,230
104,By Month,2022,12,4,Alabama,Total - All Places of Death,50-64 years,25,10,39,5.0,68,979
105,By Month,2022,12,4,Alabama,Total - All Places of Death,65-74 years,42,12,89,14.0,129,1172
106,By Month,2022,12,4,Alabama,Total - All Places of Death,75-84 years,46,11,112,15.0,151,1402
107,By Month,2022,12,4,Alabama,Total - All Places of Death,85 years and over,52,5,70,16.0,113,1246
108,By Month,2022,1,10,Alaska,Total - All Places of Death,All Ages,68,5,54,31.0,96,519
109,By Month,2022,1,10,Alaska,Total - All Places of Death,0-17 years,5,0,5,0.0,5,5
110,By Month,2022,1,10,Alaska,Total - All Places of Death,18-29 years,5,0,0,0.0,5,15
